meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,spent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,labels
-637.7012329,104.2990189,4.894947052,20.49401093,12.55295372,2.851410389,-6.63338995,-4.091277599,-10.42391777,-6.406949997,1.957148433,0.172893062,-1.170209765,-5.292450428,-0.573319495,1.019471288,-3.49260664,-3.468122959,-1.214943767,1.971238852,male_calm
-596.9084598,86.87193601,9.470161963,17.10981948,11.1989658,1.541056358,-6.677264083,-5.755428379,-9.684471897,-6.891255583,1.544302627,0.033802759,-1.986514522,-5.103855195,-1.25310978,0.514895767,-3.268317441,-4.502895206,0.167153193,0.25673197,male_calm
-698.0865479,99.79592896,1.892678738,19.91526413,7.532868385,1.265761375,-9.188655853,-5.798194408,-12.29971027,-4.976399899,1.809159398,-1.639542103,-2.603761196,-4.890347004,-0.879222155,-1.250208139,-3.449959517,-4.708529472,-0.086224176,-3.03404355,male_calm
-279.1410522,41.09294891,-21.31922913,7.802911282,-13.14050293,-9.407660484,-15.58064651,-6.097223282,-24.70090294,-9.640293121,-5.937896252,-10.30597591,-4.092835426,-5.817179203,-10.73152256,-0.823595703,-15.88510323,-2.014257669,-6.173852444,-5.331760406,male_angry
-160.0746858,17.57605772,-2.147435814,3.133417445,-4.745001586,-6.510771253,-5.911591392,-4.481505826,-9.470597859,-5.907822715,-2.864402958,-4.088007427,-1.817639367,-2.994765446,-4.89317585,-2.880436275,-7.163400334,-2.147344526,-2.359248143,-3.746217449,male_angry
-331.0215759,39.74570465,-22.86062622,6.353040218,-16.37442398,-11.44088364,-17.60281563,-9.509994507,-27.0613327,-6.779750824,-7.736475468,-9.512968063,-3.978927851,-8.940723419,-9.396314621,-3.595845938,-16.38846207,1.839664459,-6.579001427,-1.339285851,male_angry
-513.0246582,77.11763763,-3.092357159,18.27354431,9.78104496,-4.164429188,-6.952113628,-11.51886845,-18.64482689,-2.869785786,-6.480621338,-1.636451125,2.136385441,-7.296048164,-0.705864966,5.506454468,-8.749706268,-3.968177795,-2.807969809,-2.808649302,male_fear
-387.372659,41.85548335,5.128738211,10.35961901,5.100619512,-2.914951768,-4.287355203,-10.34451431,-13.32582358,-7.179831748,-5.32371867,-3.016655379,-0.718703488,-5.764693009,-3.133508128,1.839358947,-6.286464019,-5.601748076,-1.164402948,-4.545544723,male_fear
-569.1998901,76.33730316,-4.784514427,18.14346886,5.091404915,-5.657931805,-8.168709755,-15.19165611,-18.79332924,-1.62037456,-5.900253296,2.001433134,1.337125063,-6.697246552,3.236743689,3.241865158,-10.94534779,-1.001622915,-1.710049629,-4.69969511,male_fear
-644.8590088,69.5730896,2.603384495,16.99223518,7.469007015,2.995506287,-2.625710487,-7.836774826,-13.31639862,-4.526955128,-0.048873458,-2.38907218,-0.242244989,-3.906938314,-2.942740917,1.678184509,-6.506072044,-2.595645666,-0.604484022,-0.405804247,male_neutral
-491.505059,37.06987543,8.698377409,11.9607287,3.882132525,1.037257776,-1.98526778,-9.287605415,-9.993058091,-4.93285429,-1.329493567,-1.829244148,-1.021602116,-3.161323144,-1.960502834,0.33493293,-5.2663767,-3.202918322,0.464814077,-2.56741578,male_neutral
-696.8063354,64.59526825,-0.647268236,16.1237011,3.663002729,0.348047823,-6.693716526,-11.78522491,-14.31195927,-2.98462677,-0.674298346,-2.859109163,-2.577526808,-4.494417667,-0.120554268,0.104946643,-8.67524147,-1.683117867,-1.501360416,-4.121702671,male_neutral
-651.3620605,80.43482971,0.01408024,21.2133255,7.332284451,-0.091521583,1.043754458,-9.87858963,-17.09418488,-5.034422874,-3.721014023,-3.007790804,-0.547591925,-5.159920216,-3.943440199,2.84385252,-4.745461941,-5.556056976,-2.688154697,0.075128041,male_sad
-483.2842922,36.53536645,11.20962113,15.02995537,5.784673269,-0.291770018,-0.190259207,-8.566499523,-11.97444937,-6.894829833,-3.490096896,-2.640603707,-0.678552282,-2.793324238,-3.291117272,1.027484505,-3.79914612,-5.482571269,-0.744718785,-1.659303939,male_sad
-707.1652832,79.90645599,-2.003625154,23.56310081,4.818311214,-0.350121528,-2.785643578,-15.98692131,-17.70861244,-2.023420095,-2.88365531,-2.845917463,-2.006341219,-6.563071251,-2.017244577,3.656583309,-7.469538689,-4.868087769,-1.372730613,-3.706656456,male_sad
-626.4394531,88.23174286,-6.596569538,20.61385345,9.298240662,-1.682124972,-1.269319654,-10.73023701,-15.26071167,-7.171762943,-2.768256187,-2.201235294,-2.776972771,-4.413810253,-1.510190606,-0.838297367,-5.899542332,-3.450075865,-2.709724903,0.31628862,male_sad
-425.2443763,27.76291138,9.684040341,9.354245659,5.508352692,-0.049684655,-1.843518504,-5.873469447,-7.944229546,-6.204665934,-2.111568049,-0.729954426,-2.140155379,-2.249538651,-1.376900896,-0.454426113,-2.767193231,-2.704714463,-0.726322239,-2.257640451,male_sad
-690.9592896,84.55796051,-9.234189987,23.0044632,6.647912979,-0.726650298,-2.949155331,-14.23270416,-16.13469696,-4.606538296,-2.721092701,-2.8980968,-5.701631546,-4.693779945,-2.988523722,-3.201946259,-6.975940228,-4.096032143,-2.838542938,-3.603138924,male_sad
-535.8812256,82.28135681,-9.010551453,20.84228325,5.421831608,-3.754339218,-10.54149914,-13.46577168,-27.91768074,-6.894571781,-3.809465647,-10.42928219,0.15754512,-7.953776836,-6.011678696,2.456673622,-10.44802952,-6.485257149,-4.687830448,-3.55344677,male_sad
-357.0666035,31.24360186,9.127222844,9.714921744,3.609547593,-2.231812262,-5.094294368,-10.14742188,-13.42393102,-8.095191748,-3.340233481,-3.245548006,-1.295713513,-2.160775289,-2.5649094,0.158734106,-3.747653913,-5.429063187,-1.541897406,-2.404017253,male_sad
-595.3486938,79.2506485,-11.08504868,21.09791374,0.176737234,-5.833451271,-13.35342121,-18.88196564,-29.51423264,-5.104261398,-7.536109447,-9.836651802,-0.504282832,-10.37525177,-3.64349699,0.009618802,-12.64393806,-5.940783024,-5.44769907,-6.457548618,male_sad
-443.611084,66.39328003,-4.908761024,13.36528873,-0.683898151,-4.739338398,-7.220381737,-9.264338493,-23.08797836,-6.944153786,-4.37625742,-8.10115242,-0.35077551,-7.457047462,-7.318939209,1.527055502,-14.20544434,-1.777707934,-3.192659378,-6.974279404,male_angry
-264.4181275,21.5373975,6.961810464,5.909866188,-1.439068079,-2.780335345,-2.981919374,-6.77878083,-10.13545215,-5.730306072,-2.622335295,-2.728955606,-1.569214904,-2.639314855,-2.652573078,-0.214964852,-5.719949111,-1.584708596,-0.551410526,-3.866372735,male_angry
-493.8696899,62.70741653,-7.369163036,12.25385857,-3.103960752,-5.103029251,-9.360918045,-14.81855106,-25.50797653,-4.139107227,-5.107861996,-6.039868832,-0.220488206,-9.853652954,-5.395710945,-2.899806023,-15.96859074,-0.646158516,-6.405322075,-8.373282433,male_angry
-556.5424194,74.20685577,2.418024778,20.85260201,8.277382851,1.839268684,-5.138800621,-9.293503761,-14.13221645,-1.395346045,-3.34363389,-2.033306599,0.372574955,-4.976741791,-1.830127716,3.339058399,-6.074225903,-3.466986418,-0.39431268,2.665002823,male_fear
-364.3840264,28.44491159,10.67563842,10.44248277,4.151992679,0.737851058,-2.399858936,-7.751569164,-7.894747693,-4.174008974,-2.114800675,-0.87449995,-0.917355867,-2.488344414,-1.571640657,1.009571332,-3.347185448,-3.313262445,0.180381946,-1.716542081,male_fear
-615.6634521,71.96350098,2.717676878,21.60896683,5.520240784,0.264096409,-9.688831329,-12.93604279,-13.21415043,0.304942161,-2.617540359,-0.100938246,-0.743497252,-6.101093292,-0.644790411,0.570495605,-8.490843773,-2.630865097,0.62367928,-2.852518559,male_fear
-444.5753479,66.17923737,-10.0770731,20.03666878,-2.988163948,-3.980526447,-7.276299953,-1.800311089,-19.89921951,-6.882799625,-1.897190809,-6.845898628,-1.677824855,-6.662777424,-5.630063057,-2.330868483,-10.0880518,-2.466571569,-6.649364948,-4.798598766,male_angry
-381.1303045,48.0185919,-1.211504532,14.11378534,-1.873292149,-4.832867176,-3.981799944,-2.767180255,-15.61570845,-8.072640283,-1.524191458,-5.499903108,-1.564575962,-5.052376666,-4.464290165,-2.431955945,-7.776953786,-3.477792553,-4.503971502,-5.507654365,male_angry
-498.6574707,60.48968506,-12.34851933,20.86133194,-5.84098959,-3.828503847,-9.058820724,-5.00308609,-23.02750015,-3.838103533,-2.590830803,-4.685934067,-1.808293939,-8.427736282,-5.111219406,-4.165236473,-10.48888016,-2.109944344,-8.284263611,-5.51608181,male_angry
